Customer_ID,Signup_Date,Plan_Type,Billing_Cycle,Tenure_Months,Monthly_Charges,Churn_Status,Churn_Reason,LTV,Region
CUST-20040,2025-02-03,Basic,Monthly,12,15.54,No,N/A,186.48,East
CUST-20041,2025-04-15,Standard,Monthly,0,38.2,No,N/A,0.0,South
CUST-20042,2025-04-07,Premium,Annual,24,76.8,No,N/A,1843.2,East
CUST-20043,2024-08-10,Standard,Monthly,4,40.18,Yes,Price,160.72,South
CUST-20044,2024-09-19,Standard,Annual,23,38.97,No,N/A,896.31,West
CUST-20045,2024-01-09,Basic,Monthly,10,14.76,No,N/A,147.6,East
CUST-20046,2025-04-13,Premium,Monthly,12,80.38,Yes,Customer Support,964.56,West
CUST-20047,2025-02-08,Premium,Monthly,14,79.45,No,N/A,1112.3,East
CUST-20049,2024-05-25,Premium,Annual,5,80.85,No,N/A,404.25,North
CUST-20050,2024-12-21,Basic,Monthly,9,14.37,No,N/A,129.33,West
CUST-20051,2024-03-01,Premium,Annual,24,80.05,No,N/A,1921.2,West
CUST-20052,2024-07-01,Standard,Monthly,11,38.81,Yes,Competitor,426.91,North
CUST-20053,2024-12-28,Premium,Monthly,0,79.71,Yes,Price,0.0,East
CUST-20054,2025-04-11,Standard,Annual,3,40.28,No,N/A,120.84,West
CUST-20055,2024-06-19,Standard,Monthly,0,37.26,No,N/A,0.0,West
CUST-20056,2025-02-21,Premium,Annual,6,75.94,No,N/A,455.64,South
CUST-20057,2024-05-18,Standard,Monthly,21,37.79,Yes,Product Bug,793.59,South
CUST-20058,2024-06-30,Standard,Monthly,22,38.34,Yes,Product Bug,843.48,South
CUST-20059,2024-01-28,Basic,Monthly,3,14.7,No,N/A,44.1,East
CUST-20061,2024-05-04,Basic,Monthly,15,14.26,No,N/A,213.9,West
CUST-20062,2025-03-31,Premium,Monthly,11,78.88,Yes,No_Reason,867.68,West
CUST-20063,2024-04-18,Basic,Monthly,23,15.34,Yes,Customer Support,352.82,East
CUST-20064,2024-10-28,Standard,Monthly,14,37.65,Yes,Product Bug,527.1,North
CUST-20066,2024-01-31,Basic,Monthly,5,15.37,Yes,Price,76.85,North
CUST-20067,2024-10-30,Premium,Monthly,14,80.0,No,N/A,1120.0,East
CUST-20069,2024-01-05,Premium,Annual,24,77.46,No,N/A,1859.04,East
CUST-20070,2025-02-03,Premium,Monthly,15,80.2,No,N/A,1203.0,North
CUST-20071,2024-09-18,Premium,Monthly,24,78.89,No,N/A,1893.36,North
CUST-20072,2024-04-20,Premium,Annual,20,75.5,No,N/A,1510.0,East
CUST-20074,2024-07-19,Premium,Annual,20,76.39,No,N/A,1527.8,West
CUST-20075,2024-11-22,Basic,Monthly,4,15.54,Yes,Customer Support,62.16,East
CUST-20076,2025-03-30,Standard,Annual,15,40.58,No,N/A,608.7,North
CUST-20077,2024-10-15,Basic,Monthly,9,14.86,No,N/A,133.74,South
CUST-20078,2024-05-17,Premium,Annual,20,75.7,No,N/A,1514.0,South
CUST-20079,2024-10-04,Standard,Annual,10,38.87,No,N/A,388.7,West
CUST-20081,2024-04-26,Premium,Annual,9,79.83,No,N/A,718.47,North
CUST-20082,2025-01-30,Standard,Annual,22,40.2,Yes,Price,884.4,North
CUST-20083,2024-11-06,Basic,Monthly,5,14.5,Yes,Competitor,72.5,South
CUST-20084,2024-05-09,Basic,Monthly,6,15.36,No,N/A,92.16,West
CUST-20086,2024-10-05,Standard,Monthly,16,39.12,No,N/A,625.92,West
CUST-20087,2024-08-25,Standard,Annual,0,40.92,Yes,Competitor,0.0,East
CUST-20088,2024-09-02,Premium,Monthly,19,79.23,No,N/A,1505.37,North
CUST-20089,2024-05-12,Standard,Monthly,17,38.0,No,N/A,646.0,East
CUST-20090,2024-12-31,Standard,Annual,6,37.59,Yes,Competitor,225.54,West
CUST-20091,2025-04-09,Basic,Monthly,22,15.33,Yes,Product Bug,337.26,West
CUST-20092,2024-10-10,Basic,Monthly,24,15.01,Yes,Competitor,360.24,East
CUST-20093,2024-01-23,Basic,Annual,13,14.62,Yes,Product Bug,190.06,East
CUST-20094,2024-01-16,Premium,Monthly,3,78.12,Yes,Customer Support,234.36,West
CUST-20095,2024-03-25,Standard,Monthly,8,37.43,Yes,No_Reason,299.44,West
CUST-20096,2024-12-31,Premium,Annual,5,77.3,Yes,Competitor,386.5,South
CUST-20098,2024-01-15,Basic,Monthly,22,14.47,No,N/A,318.34,East
CUST-20099,2024-07-29,Standard,Annual,14,37.05,Yes,Product Bug,518.7,West
CUST-20100,2025-02-19,Basic,Annual,0,14.98,Yes,Customer Support,0.0,West
CUST-20101,2025-03-09,Standard,Annual,21,40.43,No,N/A,849.03,South
CUST-20103,2024-12-23,Standard,Annual,13,38.78,No,N/A,504.14,East
CUST-20104,2024-06-12,Premium,Annual,15,77.14,No,N/A,1157.1,West
CUST-20105,2025-02-17,Premium,Monthly,1,75.83,Yes,Customer Support,75.83,North
CUST-20106,2025-04-06,Standard,Monthly,18,37.42,No,N/A,673.56,North
CUST-20108,2024-06-26,Premium,Annual,23,76.04,No,N/A,1748.92,North
CUST-20109,2024-05-24,Premium,Annual,2,80.77,No,N/A,161.54,North
CUST-20110,2025-01-17,Standard,Annual,14,39.07,No,N/A,546.98,East
CUST-20111,2024-01-20,Standard,Monthly,3,38.33,Yes,Price,114.99,West
CUST-20112,2024-05-05,Basic,Annual,9,15.25,Yes,Price,137.25,West
CUST-20113,2024-02-15,Premium,Annual,12,79.8,No,N/A,957.6,South
CUST-20114,2025-05-02,Basic,Annual,22,14.71,No,N/A,323.62,West
CUST-20115,2024-01-01,Premium,Annual,16,79.08,No,N/A,1265.28,South
CUST-20116,2024-10-08,Premium,Monthly,1,82.42,No,N/A,82.42,South
CUST-20117,2025-04-18,Basic,Monthly,18,15.73,Yes,No_Reason,283.14,West
CUST-20118,2024-11-28,Basic,Monthly,15,15.1,Yes,Price,226.5,East
CUST-20119,2024-06-15,Premium,Monthly,11,75.61,Yes,Product Bug,831.71,East
CUST-20120,2024-02-15,Basic,Monthly,12,14.44,No,N/A,173.28,West
CUST-20121,2024-05-06,Premium,Monthly,2,75.33,Yes,Price,150.66,North
CUST-20122,2024-09-16,Standard,Monthly,8,40.49,No,N/A,323.92,South
CUST-20123,2025-03-18,Standard,Monthly,20,40.17,No,N/A,803.4,West
CUST-20124,2025-05-12,Basic,Monthly,17,14.51,Yes,Price,246.67,East
CUST-20125,2024-05-25,Premium,Annual,10,75.72,No,N/A,757.2,West
CUST-20126,2024-12-12,Standard,Monthly,8,40.86,No,N/A,326.88,East
CUST-20127,2025-04-25,Basic,Monthly,15,15.27,No,N/A,229.05,East
CUST-20128,2025-04-28,Standard,Monthly,3,40.33,Yes,Product Bug,120.99,West
CUST-20129,2025-05-09,Basic,Monthly,19,14.26,Yes,Competitor,270.94,South
CUST-20130,2025-01-20,Premium,Monthly,19,75.85,No,N/A,1441.15,South
CUST-20131,2024-09-06,Premium,Annual,16,75.54,No,N/A,1208.64,West
CUST-20132,2024-04-17,Standard,Annual,21,40.19,No,N/A,843.99,South
CUST-20133,2024-04-15,Standard,Annual,3,37.34,No,N/A,112.02,West
CUST-20134,2024-12-09,Premium,Monthly,11,77.33,Yes,Customer Support,850.63,South
CUST-20135,2024-04-14,Basic,Monthly,15,14.83,No,N/A,222.45,West
CUST-20136,2024-06-17,Basic,Annual,23,14.41,Yes,No_Reason,331.43,South
CUST-20138,2024-01-02,Premium,Annual,17,80.05,No,N/A,1360.85,West
CUST-20139,2025-05-08,Premium,Annual,24,81.42,Yes,Customer Support,1954.08,East
CUST-20140,2024-10-26,Standard,Monthly,1,38.46,Yes,Product Bug,38.46,North
CUST-20142,2024-04-07,Standard,Annual,20,39.39,No,N/A,787.8,East
CUST-20143,2025-04-05,Standard,Annual,6,38.41,No,N/A,230.46,North
CUST-20144,2025-03-23,Standard,Monthly,7,38.18,No,N/A,267.26,South
CUST-20145,2024-01-01,Premium,Monthly,7,77.38,No,N/A,541.66,North
CUST-20146,2024-05-04,Standard,Monthly,16,37.22,No,N/A,595.52,North
CUST-20278,2024-06-10,Basic,Monthly,1,15.35,Yes,Customer Support,15.35,South
CUST-20147,2024-05-17,Premium,Monthly,11,81.8,No,N/A,899.8,South
CUST-20148,2024-05-12,Basic,Monthly,21,15.35,Yes,No_Reason,322.35,South
CUST-20150,2024-08-03,Basic,Monthly,12,15.24,No,N/A,182.88,South
CUST-20151,2024-05-22,Premium,Annual,14,79.0,Yes,Price,1106.0,East
CUST-20152,2024-05-12,Premium,Annual,17,80.39,No,N/A,1366.63,East
CUST-20154,2024-09-24,Standard,Annual,19,40.47,No,N/A,768.93,North
CUST-20155,2024-03-21,Premium,Monthly,21,75.55,No,N/A,1586.55,North
CUST-20156,2024-06-17,Standard,Monthly,19,40.13,No,N/A,762.47,North
CUST-21372,2024-06-27,Premium,Monthly,17,78.99,Yes,Customer Support,1342.83,West
CUST-20159,2024-02-20,Premium,Annual,5,81.88,No,N/A,409.4,East
CUST-20160,2024-04-13,Basic,Monthly,6,14.4,No,N/A,86.4,West
CUST-20161,2024-07-17,Basic,Monthly,2,14.65,Yes,Competitor,29.3,East
CUST-20162,2025-01-14,Standard,Annual,1,40.41,Yes,Product Bug,40.41,East
CUST-20163,2024-11-30,Standard,Annual,13,38.53,No,N/A,500.89,West
CUST-20166,2024-12-27,Basic,Monthly,6,15.67,Yes,Competitor,94.02,South
CUST-20167,2025-01-21,Standard,Annual,8,40.88,No,N/A,327.04,South
CUST-20168,2024-05-08,Standard,Monthly,14,40.6,No,N/A,568.4,East
CUST-20169,2024-10-14,Premium,Monthly,4,75.28,No,N/A,301.12,East
CUST-20170,2025-02-16,Premium,Monthly,5,75.52,No,N/A,377.6,North
CUST-20172,2024-05-28,Basic,Monthly,0,15.54,No,N/A,0.0,North
CUST-20173,2024-11-30,Basic,Monthly,14,15.45,Yes,Price,216.3,East
CUST-20174,2025-02-23,Standard,Annual,11,39.51,No,N/A,434.61,West
CUST-20175,2024-02-26,Basic,Annual,3,15.04,No,N/A,45.12,East
CUST-20176,2024-01-14,Premium,Monthly,7,77.11,No,N/A,539.77,North
CUST-20177,2024-10-12,Premium,Monthly,16,78.63,Yes,Competitor,1258.08,East
CUST-20179,2024-04-28,Standard,Monthly,17,37.48,Yes,Price,637.16,North
CUST-20180,2024-07-13,Premium,Annual,20,77.93,Yes,Competitor,1558.6,West
CUST-20181,2024-11-11,Basic,Monthly,21,15.12,Yes,Price,317.52,East
CUST-20182,2024-02-29,Premium,Annual,18,77.3,Yes,Product Bug,1391.4,North
CUST-20183,2024-06-27,Premium,Monthly,13,75.26,No,N/A,978.38,North
CUST-20203,2024-12-26,Premium,Annual,10,76.41,Yes,Product Bug,764.1,East
CUST-20184,2025-04-19,Premium,Monthly,10,75.57,No,N/A,755.7,North
CUST-20185,2025-02-10,Standard,Monthly,0,38.57,Yes,Product Bug,0.0,West
CUST-20187,2024-09-01,Basic,Monthly,16,15.38,Yes,Competitor,246.08,South
CUST-20188,2024-09-07,Premium,Monthly,5,76.0,No,N/A,380.0,South
CUST-20189,2024-04-28,Premium,Monthly,1,79.97,No,N/A,79.97,East
CUST-20190,2024-10-04,Standard,Monthly,21,40.43,No,N/A,849.03,West
CUST-20191,2024-11-23,Premium,Monthly,22,79.44,No,N/A,1747.68,East
CUST-20192,2024-08-04,Standard,Annual,16,37.65,No,N/A,602.4,North
CUST-20193,2024-02-03,Standard,Annual,6,37.13,No,N/A,222.78,North
CUST-20194,2025-04-02,Basic,Monthly,12,14.4,Yes,Customer Support,172.8,West
CUST-20196,2024-09-02,Premium,Annual,4,76.34,No,N/A,305.36,South
CUST-20197,2025-01-26,Basic,Monthly,1,14.56,Yes,Customer Support,14.56,North
CUST-20198,2024-12-29,Premium,Monthly,5,77.98,Yes,No_Reason,389.9,North
CUST-20199,2025-01-03,Premium,Annual,19,77.06,Yes,Competitor,1464.14,North
CUST-20200,2024-06-02,Basic,Annual,2,15.0,No,N/A,30.0,East
CUST-20201,2024-11-07,Standard,Monthly,21,37.23,Yes,Competitor,781.83,West
CUST-20202,2025-03-05,Basic,Annual,3,15.45,Yes,Competitor,46.35,East
CUST-20204,2024-07-25,Premium,Annual,12,82.69,No,N/A,992.28,West
CUST-20205,2025-01-17,Premium,Annual,18,79.86,No,N/A,1437.48,East
CUST-20206,2025-02-26,Standard,Monthly,16,38.9,No,N/A,622.4,South
CUST-20207,2024-07-17,Standard,Annual,12,38.7,Yes,Product Bug,464.4,West
CUST-20208,2025-02-28,Standard,Annual,4,37.38,Yes,Competitor,149.52,South
CUST-20209,2025-03-27,Basic,Annual,20,14.67,No,N/A,293.4,West
CUST-20210,2024-01-13,Premium,Annual,16,81.38,No,N/A,1302.08,West
CUST-20211,2024-05-23,Standard,Monthly,15,40.1,Yes,Price,601.5,West
CUST-20212,2024-10-19,Standard,Monthly,11,40.88,No,N/A,449.68,South
CUST-20213,2025-04-04,Standard,Annual,22,38.14,Yes,Competitor,839.08,West
CUST-20214,2025-03-13,Basic,Monthly,3,14.84,Yes,No_Reason,44.52,North
CUST-20215,2024-09-28,Basic,Annual,8,15.52,No,N/A,124.16,South
CUST-20217,2024-08-01,Basic,Monthly,23,14.81,Yes,Product Bug,340.63,South
CUST-20218,2025-02-23,Standard,Monthly,4,39.74,No,N/A,158.96,West
CUST-20219,2024-11-07,Premium,Annual,11,79.63,No,N/A,875.93,North
CUST-20222,2024-03-20,Basic,Monthly,14,14.75,No,N/A,206.5,West
CUST-21650,2025-04-15,Standard,Monthly,3,40.64,No,N/A,121.92,South
CUST-20223,2025-01-07,Basic,Monthly,1,15.15,Yes,No_Reason,15.15,East
CUST-20224,2024-08-17,Basic,Monthly,18,15.4,Yes,Price,277.2,South
CUST-20225,2024-04-21,Basic,Annual,8,15.52,Yes,Customer Support,124.16,East
CUST-20226,2024-09-17,Premium,Annual,0,79.0,Yes,Customer Support,0.0,South
CUST-20230,2024-01-29,Basic,Annual,21,15.31,Yes,Customer Support,321.51,North
CUST-20231,2024-12-28,Standard,Monthly,2,37.96,Yes,Price,75.92,East
CUST-20232,2025-04-18,Premium,Annual,21,75.07,No,N/A,1576.47,East
CUST-20233,2024-12-26,Basic,Monthly,8,15.03,No,N/A,120.24,West
CUST-20235,2024-10-16,Standard,Annual,12,40.44,No,N/A,485.28,South
CUST-20236,2025-01-07,Basic,Monthly,11,14.92,Yes,No_Reason,164.12,West
CUST-20237,2024-12-25,Basic,Annual,1,15.32,Yes,Competitor,15.32,West
CUST-20239,2024-04-09,Standard,Annual,22,40.14,No,N/A,883.08,East
CUST-20240,2025-02-06,Premium,Monthly,20,76.97,No,N/A,1539.4,East
CUST-20241,2024-12-11,Standard,Annual,0,39.46,Yes,No_Reason,0.0,North
CUST-20242,2024-09-08,Premium,Monthly,19,82.43,No,N/A,1566.17,West
CUST-20243,2024-01-10,Basic,Monthly,6,15.11,No,N/A,90.66,West
CUST-20244,2025-03-07,Standard,Monthly,6,39.87,No,N/A,239.22,East
CUST-20245,2024-10-23,Standard,Annual,4,40.12,Yes,Competitor,160.48,West
CUST-20246,2025-03-12,Basic,Annual,3,14.66,No,N/A,43.98,West
CUST-20248,2024-09-28,Premium,Monthly,13,77.54,Yes,Price,1008.02,North
CUST-20249,2024-06-03,Premium,Annual,2,79.64,Yes,Price,159.28,East
CUST-20250,2025-02-01,Premium,Monthly,1,76.86,Yes,Customer Support,76.86,East
CUST-20252,2024-07-28,Basic,Monthly,0,14.88,Yes,Customer Support,0.0,West
CUST-20253,2024-05-14,Basic,Annual,19,15.01,No,N/A,285.19,South
CUST-20254,2024-06-05,Standard,Annual,10,40.8,No,N/A,408.0,South
CUST-20255,2024-09-11,Standard,Annual,11,40.5,No,N/A,445.5,West
CUST-20256,2024-06-16,Basic,Annual,15,14.78,No,N/A,221.7,West
CUST-20651,2025-01-21,Premium,Monthly,14,79.17,Yes,Competitor,1108.38,North
CUST-20257,2024-01-07,Basic,Monthly,4,14.61,Yes,Product Bug,58.44,West
CUST-20258,2024-09-05,Basic,Monthly,9,14.8,No,N/A,133.2,North
CUST-20259,2024-04-20,Standard,Monthly,3,40.76,No,N/A,122.28,South
CUST-20260,2024-11-30,Standard,Annual,18,37.37,No,N/A,672.66,South
CUST-20887,2025-01-24,Premium,Annual,5,76.8,No,N/A,384.0,East
CUST-20261,2025-04-03,Standard,Monthly,22,38.58,No,N/A,848.76,South
CUST-20262,2024-01-20,Basic,Annual,24,14.53,No,N/A,348.72,West
CUST-20264,2024-05-08,Standard,Annual,2,37.68,No,N/A,75.36,South
CUST-20265,2024-07-14,Basic,Annual,18,14.45,No,N/A,260.1,East
CUST-20266,2024-03-21,Premium,Annual,1,76.48,Yes,No_Reason,76.48,North
CUST-20267,2024-02-22,Premium,Monthly,14,75.95,Yes,Price,1063.3,South
CUST-20268,2024-08-19,Premium,Monthly,2,82.22,No,N/A,164.44,East
CUST-20269,2024-11-19,Standard,Annual,3,39.0,No,N/A,117.0,South
CUST-20270,2024-05-09,Standard,Monthly,7,40.04,No,N/A,280.28,East
CUST-20271,2024-05-13,Basic,Monthly,8,14.35,Yes,Price,114.8,East
CUST-20272,2025-04-03,Standard,Annual,17,37.25,Yes,Competitor,633.25,East
CUST-20275,2024-05-22,Standard,Annual,16,39.99,No,N/A,639.84,North
CUST-20276,2024-12-11,Basic,Monthly,8,14.79,No,N/A,118.32,West
CUST-20277,2024-03-18,Basic,Monthly,13,14.8,Yes,Competitor,192.4,East
CUST-20279,2024-11-18,Premium,Monthly,12,78.89,No,N/A,946.68,West
CUST-20280,2024-02-01,Premium,Annual,12,82.49,Yes,Product Bug,989.88,North
CUST-20281,2025-05-15,Premium,Annual,20,75.25,No,N/A,1505.0,East
CUST-20282,2024-09-07,Standard,Annual,2,40.06,Yes,Product Bug,80.12,South
CUST-20283,2025-02-22,Basic,Monthly,0,15.33,Yes,Competitor,0.0,South
CUST-20284,2024-09-19,Basic,Monthly,11,14.99,Yes,Competitor,164.89,West
CUST-20285,2024-08-08,Standard,Monthly,24,38.4,No,N/A,921.6,West
CUST-20287,2024-08-25,Standard,Annual,7,39.26,No,N/A,274.82,West
CUST-20288,2024-10-25,Basic,Annual,5,14.36,Yes,Competitor,71.8,West
CUST-20289,2024-06-26,Standard,Monthly,18,40.1,No,N/A,721.8,West
CUST-20290,2024-02-25,Standard,Annual,2,40.05,No,N/A,80.1,West
CUST-20291,2024-06-14,Premium,Monthly,2,79.23,No,N/A,158.46,South
CUST-20292,2024-12-14,Premium,Annual,12,78.3,Yes,No_Reason,939.6,West
CUST-20293,2025-05-04,Standard,Monthly,7,40.94,No,N/A,286.58,South
CUST-20294,2024-12-24,Premium,Monthly,17,78.82,No,N/A,1339.94,West
CUST-20295,2024-01-15,Premium,Monthly,21,81.44,Yes,Competitor,1710.24,West
CUST-20296,2025-03-04,Standard,Annual,17,37.05,No,N/A,629.85,East
CUST-20297,2024-04-08,Premium,Monthly,0,75.35,Yes,Competitor,0.0,East
CUST-20298,2024-12-13,Premium,Annual,23,75.33,Yes,Product Bug,1732.59,East
CUST-20300,2024-02-08,Basic,Monthly,21,15.29,Yes,Product Bug,321.09,East
CUST-20301,2024-01-31,Basic,Monthly,16,15.6,No,N/A,249.6,North
CUST-20302,2024-08-04,Standard,Annual,9,39.34,No,N/A,354.06,North
CUST-20304,2024-06-20,Premium,Monthly,3,78.51,No,N/A,235.53,East
CUST-20307,2025-01-06,Standard,Monthly,17,37.1,Yes,Competitor,630.7,South
CUST-20308,2024-02-08,Standard,Monthly,6,37.59,Yes,Customer Support,225.54,North
CUST-20309,2024-11-02,Standard,Monthly,0,39.42,Yes,Customer Support,0.0,South
CUST-20310,2024-05-12,Standard,Annual,21,38.11,No,N/A,800.31,South
CUST-20311,2025-01-27,Premium,Annual,19,75.77,No,N/A,1439.63,North
CUST-20312,2024-01-14,Basic,Annual,0,14.36,Yes,Customer Support,0.0,East
CUST-20314,2024-03-30,Basic,Annual,14,14.58,No,N/A,204.12,South
CUST-20315,2024-10-04,Standard,Annual,12,39.46,No,N/A,473.52,West
CUST-20317,2025-03-03,Premium,Annual,6,79.71,No,N/A,478.26,West
CUST-20318,2025-04-10,Standard,Annual,9,39.9,Yes,No_Reason,359.1,East
CUST-20319,2025-03-04,Premium,Monthly,16,76.02,No,N/A,1216.32,South
CUST-20320,2025-02-16,Premium,Annual,24,77.26,No,N/A,1854.24,North
CUST-20321,2024-09-21,Premium,Annual,14,79.92,No,N/A,1118.88,West
CUST-20322,2024-07-20,Basic,Monthly,9,15.47,No,N/A,139.23,South
CUST-20323,2025-03-04,Standard,Monthly,10,39.2,No,N/A,392.0,East
CUST-20324,2024-02-03,Premium,Annual,10,75.78,Yes,Competitor,757.8,South
CUST-20327,2024-08-02,Standard,Annual,17,39.47,Yes,Price,670.99,South
CUST-20329,2024-08-01,Basic,Annual,0,15.29,Yes,No_Reason,0.0,East
CUST-20330,2025-03-08,Basic,Monthly,5,14.73,No,N/A,73.65,South
CUST-20331,2024-03-27,Basic,Monthly,13,15.43,Yes,Product Bug,200.59,South
CUST-20332,2024-07-10,Basic,Annual,7,14.61,Yes,Product Bug,102.27,East
CUST-20333,2024-01-05,Standard,Monthly,0,38.09,Yes,Competitor,0.0,South
CUST-20334,2025-01-28,Standard,Annual,15,40.71,No,N/A,610.65,South
CUST-20335,2024-08-08,Premium,Monthly,21,81.47,No,N/A,1710.87,West
CUST-20336,2024-05-31,Standard,Monthly,11,38.42,Yes,Competitor,422.62,North
CUST-20338,2024-09-16,Standard,Annual,23,38.62,No,N/A,888.26,West
CUST-20339,2024-07-08,Standard,Annual,2,37.95,Yes,Competitor,75.9,North
CUST-20340,2024-02-16,Standard,Annual,16,40.04,No,N/A,640.64,South
CUST-20341,2025-01-21,Basic,Annual,7,15.23,Yes,Price,106.61,West
CUST-20342,2024-06-23,Standard,Annual,11,39.16,No,N/A,430.76,East
CUST-20343,2024-09-26,Basic,Monthly,13,14.85,No,N/A,193.05,North
CUST-20344,2024-09-19,Standard,Monthly,21,38.25,Yes,Product Bug,803.25,West
CUST-20345,2024-01-17,Basic,Monthly,12,14.94,Yes,Product Bug,179.28,West
CUST-20346,2024-10-11,Standard,Monthly,9,40.34,Yes,Price,363.06,North
CUST-20349,2025-05-09,Premium,Monthly,5,80.93,Yes,Product Bug,404.65,East
CUST-20351,2024-07-24,Basic,Monthly,8,14.36,Yes,No_Reason,114.88,North
CUST-20352,2025-03-28,Basic,Annual,17,14.97,No,N/A,254.49,North
CUST-20353,2024-02-25,Premium,Annual,23,79.51,No,N/A,1828.73,South
CUST-20354,2024-12-02,Basic,Monthly,7,15.22,No,N/A,106.54,West
CUST-20355,2025-02-06,Basic,Annual,23,15.43,No,N/A,354.89,West
CUST-20356,2024-03-06,Basic,Monthly,19,15.39,No,N/A,292.41,West
CUST-20357,2024-11-16,Basic,Monthly,21,15.07,No,N/A,316.47,South
CUST-20358,2024-01-11,Premium,Annual,14,79.93,No,N/A,1119.02,South
CUST-20359,2024-03-01,Premium,Annual,12,75.89,No,N/A,910.68,North
CUST-20360,2024-03-15,Basic,Annual,5,15.3,No,N/A,76.5,East
CUST-20361,2024-08-02,Basic,Annual,1,15.39,No,N/A,15.39,North
CUST-20362,2025-05-05,Standard,Annual,24,39.53,No,N/A,948.72,South
CUST-20363,2024-04-13,Standard,Monthly,2,37.86,No,N/A,75.72,West
CUST-20364,2024-06-24,Standard,Monthly,2,38.09,Yes,Product Bug,76.18,North
CUST-20365,2024-08-29,Standard,Monthly,14,38.86,No,N/A,544.04,West
CUST-20366,2024-06-01,Standard,Annual,16,39.81,No,N/A,636.96,East
CUST-20367,2024-02-25,Premium,Monthly,19,81.02,Yes,Product Bug,1539.38,North
CUST-20368,2024-04-04,Premium,Annual,2,76.27,Yes,Product Bug,152.54,North
CUST-20369,2024-05-26,Standard,Monthly,8,39.43,No,N/A,315.44,North
CUST-20370,2024-12-12,Standard,Annual,21,40.67,No,N/A,854.07,East
CUST-20371,2024-04-07,Basic,Monthly,12,15.37,Yes,Price,184.44,North
CUST-20372,2025-03-29,Standard,Monthly,24,39.8,Yes,No_Reason,955.2,North
CUST-20373,2024-11-24,Premium,Monthly,23,79.0,No,N/A,1817.0,South
CUST-20374,2024-12-20,Standard,Monthly,18,39.74,Yes,Customer Support,715.32,West
CUST-20375,2025-03-28,Premium,Annual,13,76.07,No,N/A,988.91,South
CUST-20376,2024-02-13,Basic,Annual,24,14.61,No,N/A,350.64,South
CUST-20377,2025-01-28,Basic,Annual,13,14.88,Yes,Price,193.44,East
