Customer_ID,Signup_Date,Plan_Type,Billing_Cycle,Tenure_Months,Monthly_Charges,Churn_Status,Churn_Reason,Region
CUST-20203,2024-12-26,Premium,Annual,10,76.41,YES,Product Bug,East
CUST-20204,2024-07-25,premium,Annual,12,82.69,NO,N/A,West
CUST-20205,2025-01-17,premium,Annual,18,79.86,No,N/A,East
CUST-20206,2025-02-26,standard,Monthly,16,38.9,No,N/A,South
CUST-20207,2024-07-17,STANDARD,Annual,12,38.7,yes,Product Bug,West
CUST-20208,2025-02-28,STANDARD,Annual,4,37.38,YES,Competitor,South
CUST-20209,27/03/2025,  Basic ,Annual,20,14.67,No,N/A,West
CUST-20210,2024-01-13,premium,Annual,16,81.38, No,N/A,West
CUST-20211,2024-05-23,STANDARD,Monthly,15,40.1,YES,Price,West
CUST-20212,2024-10-19,Standard,Monthly,11,40.88,no,N/A,South
CUST-20213,04/04/2025,standard,Annual,22,38.14,Yes,Competitor,West
CUST-20214,13/03/2025,BASIC,Monthly,3,14.84,YES,No_Reason,North
CUST-20098,15/01/2024,basic,,22,14.47,no,N/A,East
CUST-20215,2024-09-28,BASIC,Annual,8,15.52,NO,N/A,South
CUST-20216,2024-08-02,Basic,Monthly,-10,15.01,No,N/A,North
CUST-20217,2024-08-01,Basic,Monthly,23,14.81,YES,Product Bug,South
CUST-20218,2025-02-23,Standard,Monthly,4,39.74,No,N/A,West
CUST-20219,2024-11-07,PREMIUM,Annual,11,79.63,NO,N/A,North
CUST-20220,INVALID_DATE,PREMIUM,Annual,3,76.74,Yes ,Product Bug,West
CUST-20221,,Basic,Annual,6,15.26,Yes ,Product Bug,South
CUST-20222,2024-03-20,BASIC,Monthly,14,14.75, No,N/A,West
CUST-21650,15/04/2025,Standard,,3,40.64, No,N/A,South
CUST-20223,2025-01-07,  Basic ,Monthly,1,15.15,Yes,No_Reason,East
CUST-20224,2024-08-17,Basic,Monthly,18,15.4,Yes ,Price,South
CUST-20225,2024-04-21,basic,Annual,8,15.52,Yes ,Customer Support,East
CUST-20226,17/09/2024,PREMIUM,Annual,0,,Yes ,Customer Support,South
CUST-20227,2024-02-05,Standard,Monthly,-8,40.84,YES,Customer Support,East
CUST-20228,,premium,Monthly,22,79.0,YES,No_Reason,East
CUST-20229,,Standard,Monthly,6,37.7,No,N/A,West
CUST-20230,2024-01-29,  Basic ,Annual,21,15.31,YES,Customer Support,North
CUST-20231,2024-12-28,STANDARD,Monthly,2,37.96,Yes,Price,East
CUST-20232,2025-04-18,PREMIUM,Annual,21,75.07,No,N/A,East
CUST-20233,2024-12-26,basic,Monthly,8,15.03, No,N/A,West
CUST-20234,2025-01-21,basic,Monthly,,15.36,NO,N/A,North
CUST-20235,16/10/2024,STANDARD,Annual,12,40.44,NO,N/A,South
CUST-20236,2025-01-07,BASIC,Monthly,11,14.92,Yes,No_Reason,West
CUST-20237,2024-12-25,basic,Annual,1,15.32,yes,Competitor,West
CUST-20238,INVALID_DATE,STANDARD,Monthly,2,38.08,yes,Customer Support,East
CUST-20239,2024-04-09,Standard,Annual,22,40.14,No,N/A,East
CUST-20240,2025-02-06,Premium,Monthly,20,76.97,no,N/A,East
CUST-20241,11/12/2024,Standard  ,Annual,0,39.46,Yes ,No_Reason,North
CUST-20242,08/09/2024,premium,,19,82.43, No,N/A,West
CUST-20243,2024-01-10,  Basic ,Monthly,6,15.11,No,N/A,West
CUST-20244,2025-03-07,STANDARD,,6,39.87,No,N/A,East
CUST-20245,2024-10-23,standard,Annual,4,40.12,Yes ,Competitor,West
CUST-20246,2025-03-12,  Basic ,Annual,3,14.66,no,N/A,West
CUST-20247,,BASIC,Monthly,17,14.51,No,N/A,West
CUST-20248,28/09/2024,premium,Monthly,13,77.54,YES,Price,North
CUST-20249,03/06/2024,Premium,Annual,2,79.64,YES,Price,East
CUST-20250,01/02/2025,premium,Monthly,1,76.86,yes,Customer Support,East
CUST-20251,2025-02-26,Basic,Annual,-8,15.71,Yes,Competitor,West
CUST-20252,2024-07-28,Basic,Monthly,0,14.88,YES,Customer Support,West
CUST-20253,2024-05-14,  Basic ,Annual,19,15.01, No,N/A,South
CUST-20254,2024-06-05,Standard,Annual,10,40.8,No,N/A,South
CUST-20255,2024-09-11,standard,Annual,11,40.5,No,N/A,West
CUST-20256,2024-06-16,  Basic ,Annual,15,14.78,No,N/A,West
CUST-20651,2025-01-21,Premium,Monthly,14,79.17,yes,Competitor,North
CUST-20257,2024-01-07,basic,Monthly,4,14.61,YES,Product Bug,West
CUST-20258,2024-09-05,Basic,Monthly,9,14.8, No,N/A,North
CUST-20259,2024-04-20,Standard  ,Monthly,3,40.76, No,N/A,South
CUST-20260,2024-11-30,Standard,Annual,18,37.37,no,N/A,South
CUST-20887,2025-01-24,Premium,Annual,5,76.8,NO,N/A,East
CUST-20261,2025-04-03,Standard  ,Monthly,22,38.58,no,N/A,South
CUST-20262,2024-01-20,basic,Annual,24,14.53,No,N/A,West
CUST-20263,2024-03-14,premium,Annual,-11,82.07,No,N/A,South
CUST-20264,2024-05-08,STANDARD,Annual,2,37.68, No,N/A,South
CUST-20265,2024-07-14,Basic,Annual,18,14.45, No,N/A,East
CUST-20266,2024-03-21,Premium,Annual,1,76.48,YES,No_Reason,North
CUST-20267,2024-02-22,premium,Monthly,14,75.95,YES,Price,South
CUST-20268,2024-08-19,Premium,Monthly,2,82.22,no,N/A,East
CUST-20269,2024-11-19,Standard  ,Annual,3,, No,N/A,South
CUST-20270,2024-05-09,Standard,Monthly,7,40.04,No,N/A,East
CUST-20271,2024-05-13,  Basic ,,8,14.35,Yes ,Price,East
CUST-20272,03/04/2025,Standard,Annual,17,37.25,YES,Competitor,East
CUST-20273,INVALID_DATE,STANDARD,Monthly,14,38.53,YES,Product Bug,East
CUST-20274,2024-12-07,basic,Monthly,,14.36,Yes ,Customer Support,North
CUST-20275,2024-05-22,Standard,Annual,16,39.99,No,N/A,North
CUST-20276,2024-12-11,Basic,Monthly,8,14.79,No,N/A,West
CUST-20277,2024-03-18,Basic,Monthly,13,14.8,Yes,Competitor,East
CUST-20278,10/06/2024,Basic,Monthly,1,15.35,yes,Customer Support,South
CUST-20279,2024-11-18,PREMIUM,Monthly,12,78.89,no,N/A,West
CUST-20280,01/02/2024,PREMIUM,Annual,12,82.49,Yes,Product Bug,North
CUST-20281,2025-05-15,premium,Annual,20,75.25, No,N/A,East
CUST-20282,2024-09-07,Standard,Annual,2,40.06,yes,Product Bug,South
CUST-20283,2025-02-22,  Basic ,Monthly,0,15.33,Yes ,Competitor,South
CUST-20284,2024-09-19,basic,Monthly,11,14.99,Yes ,Competitor,West
CUST-20285,08/08/2024,Standard,Monthly,24,38.4, No,N/A,West
CUST-20286,INVALID_DATE,Basic,Monthly,17,14.83,No,N/A,South
CUST-20287,2024-08-25,STANDARD,Annual,7,39.26,NO,N/A,West
CUST-20288,2024-10-25,  Basic ,Annual,5,14.36,YES,Competitor,West
CUST-20289,2024-06-26,Standard,Monthly,18,40.1, No,N/A,West
CUST-20290,2024-02-25,Standard,Annual,2,40.05,NO,N/A,West
CUST-20291,2024-06-14,premium,Monthly,2,79.23,no,N/A,South
CUST-20292,2024-12-14,Premium,Annual,12,78.3,Yes ,No_Reason,West
CUST-20293,2025-05-04,STANDARD,Monthly,7,40.94,NO,N/A,South
CUST-20294,2024-12-24,PREMIUM,Monthly,17,78.82,no,N/A,West
CUST-20295,15/01/2024,premium,Monthly,21,81.44,Yes,Competitor,West
CUST-20296,04/03/2025,STANDARD,Annual,17,37.05,no,N/A,East
CUST-20297,2024-04-08,premium,Monthly,0,75.35,yes,Competitor,East
CUST-20298,13/12/2024,premium,Annual,23,75.33,yes,Product Bug,East
CUST-20299,,Standard  ,Annual,2,39.49,yes,Competitor,South
CUST-20300,2024-02-08,Basic,,21,15.29,Yes ,Product Bug,East
CUST-20301,2024-01-31,Basic,Monthly,16,15.6, No,N/A,North
CUST-20302,2024-08-04,Standard,Annual,9,39.34,no,N/A,North
CUST-20303,INVALID_DATE,STANDARD,Monthly,10,40.09, No,N/A,East
CUST-20304,2024-06-20,premium,Monthly,3,78.51, No,N/A,East
CUST-20305,2024-05-22,  Basic ,Annual,-4,15.01,yes,Price,North
CUST-20306,INVALID_DATE,PREMIUM,,12,78.48,no,N/A,South
CUST-20307,2025-01-06,standard,Monthly,17,37.1,Yes,Competitor,South
CUST-20308,2024-02-08,Standard,Monthly,6,37.59,yes,Customer Support,North
CUST-20309,2024-11-02,STANDARD,Monthly,0,39.42,Yes,Customer Support,South
CUST-20310,2024-05-12,STANDARD,Annual,21,38.11,no,N/A,South
CUST-20311,2025-01-27,Premium,Annual,19,75.77, No,N/A,North
CUST-20312,14/01/2024,basic,Annual,0,14.36,Yes ,Customer Support,East
CUST-20313,,  Basic ,Monthly,13,15.25,YES,Customer Support,West
CUST-20314,2024-03-30,basic,Annual,14,14.58,NO,N/A,South
CUST-20315,2024-10-04,Standard  ,Annual,12,39.46,NO,N/A,West
CUST-20316,,PREMIUM,Monthly,21,75.68,no,N/A,East
CUST-20317,2025-03-03,PREMIUM,Annual,6,79.71,no,N/A,West
CUST-20318,2025-04-10,Standard  ,Annual,9,39.9,YES,No_Reason,East
CUST-20319,2025-03-04,PREMIUM,Monthly,16,76.02,NO,N/A,South
CUST-20320,2025-02-16,premium,Annual,24,77.26,no,N/A,North
CUST-20321,2024-09-21,premium,Annual,14,79.92,no,N/A,West
CUST-20322,2024-07-20,Basic,,9,15.47, No,N/A,South
CUST-20323,2025-03-04,STANDARD,Monthly,10,39.2,No,N/A,East
CUST-20324,2024-02-03,premium,Annual,10,75.78,yes,Competitor,South
CUST-20325,,PREMIUM,Monthly,19,80.55,NO,N/A,East
CUST-20326,,standard,Monthly,0,40.04,No,N/A,East
CUST-20327,2024-08-02,Standard  ,Annual,17,39.47,yes,Price,South
CUST-20014,2025-05-06,BASIC,Monthly,7,15.09, No,N/A,South
CUST-20328,,Basic,Monthly,18,15.42,NO,N/A,East
CUST-20329,2024-08-01,basic,Annual,0,15.29,Yes ,No_Reason,East
CUST-20330,2025-03-08,basic,Monthly,5,14.73,no,N/A,South
CUST-20331,2024-03-27,basic,Monthly,13,15.43,Yes,Product Bug,South
CUST-20332,2024-07-10,  Basic ,Annual,7,14.61,Yes ,Product Bug,East
CUST-20333,2024-01-05,Standard  ,Monthly,0,38.09,yes,Competitor,South
CUST-20334,2025-01-28,Standard  ,Annual,15,40.71,NO,N/A,South
CUST-20335,08/08/2024,Premium,Monthly,21,81.47, No,N/A,West
CUST-20336,2024-05-31,STANDARD,Monthly,11,38.42,YES,Competitor,North
CUST-20337,,  Basic ,Annual,6,15.75,NO,N/A,South
CUST-20338,2024-09-16,Standard,Annual,23,38.62,NO,N/A,West
CUST-20339,2024-07-08,standard,Annual,2,37.95,Yes,Competitor,North
CUST-20340,2024-02-16,STANDARD,Annual,16,40.04,No,N/A,South
CUST-20341,2025-01-21,Basic,Annual,7,15.23,YES,Price,West
CUST-20342,2024-06-23,Standard  ,Annual,11,39.16,NO,N/A,East
CUST-20343,2024-09-26,  Basic ,Monthly,13,14.85,no,N/A,North
CUST-20344,2024-09-19,Standard  ,Monthly,21,38.25,Yes ,Product Bug,West
CUST-20345,2024-01-17,Basic,Monthly,12,14.94,Yes,Product Bug,West
CUST-20346,2024-10-11,Standard,Monthly,9,40.34,yes,Price,North
CUST-20347,INVALID_DATE,standard,Monthly,14,39.02,Yes ,Price,North
CUST-20348,15/04/2025,premium,Annual,-3,79.79,No,N/A,East
CUST-20349,2025-05-09,premium,,5,80.93,YES,Product Bug,East
CUST-20350,2024-10-09,STANDARD,Monthly,-11,40.24,Yes,Price,North
CUST-20351,2024-07-24,basic,Monthly,8,14.36,YES,No_Reason,North
CUST-20352,28/03/2025,Basic,Annual,17,14.97,no,N/A,North
CUST-20353,25/02/2024,Premium,Annual,23,79.51,NO,N/A,South
CUST-20354,2024-12-02,  Basic ,Monthly,7,15.22,NO,N/A,West
CUST-20355,06/02/2025,Basic,Annual,23,15.43,no,N/A,West
