Transaction_ID,Date,Customer_ID,Segment,Product_Name,Category,Quantity,Unit_Price,Revenue,Cost,Profit,Region
TXN-10039,2025-10-22,CUST-1094,Home Office,Premium Notebook A5,Office Supplies,2,11.46,22.92,8.06,14.86,East
TXN-10040,2025-01-11,CUST-1119,Corporate,Ergonomic Chair,Furniture,1,262.41,262.41,173.51,88.9,North
TXN-10041,2025-03-18,CUST-1133,Consumer,Smart Bluetooth Speaker,Technology,9,82.12,739.08,369.1,369.98,East
TXN-10042,2025-05-31,CUST-1029,Corporate,Pro Laptop 15,Technology,10,1162.65,11626.5,8031.59,3594.91,East
TXN-10043,2025-10-24,CUST-1020,Home Office,High-Speed USB-C Cable,Technology,9,18.4,165.6,50.57,115.03,West
TXN-10044,2025-10-25,CUST-1032,Corporate,Wireless Mouse M2,Technology,9,24.47,220.23,87.3,132.93,West
TXN-10045,2025-11-06,CUST-1003,Home Office,Wireless Mouse M2,Technology,3,24.75,74.25,30.09,44.16,West
TXN-10046,2025-11-08,CUST-1108,Corporate,Executive Wooden Desk,Furniture,4,439.0,1756.0,1037.8,718.2,North
TXN-10047,2025-10-23,CUST-1033,Home Office,Smart Bluetooth Speaker,Technology,9,83.73,753.57,379.2,374.37,North
TXN-10048,2025-03-17,CUST-1024,Home Office,High-Speed USB-C Cable,Technology,2,17.71,35.42,10.55,24.87,West
TXN-10049,2025-07-23,CUST-1010,Corporate,Smart Bluetooth Speaker,Technology,10,83.48,834.8,418.07,416.73,East
TXN-10050,2025-11-13,CUST-1101,Corporate,Smart Bluetooth Speaker,Technology,2,80.56,161.12,79.38,81.74,West
TXN-10051,2025-04-18,CUST-1083,Consumer,Gel Pens (Pack of 12),Office Supplies,9,14.28,128.52,38.81,89.71,North
TXN-10052,2025-08-18,CUST-1136,Home Office,Filing Cabinet 3-Drawer,Furniture,6,157.35,944.1,521.33,422.77,West
TXN-10053,2025-11-28,CUST-1125,Consumer,Executive Wooden Desk,Furniture,1,454.5,454.5,273.02,181.48,North
TXN-10054,2025-09-11,CUST-1012,Corporate,High-Speed USB-C Cable,Technology,2,17.3,34.6,10.23,24.37,South
TXN-10055,2025-07-02,CUST-1020,Corporate,Filing Cabinet 3-Drawer,Furniture,7,156.87,1098.09,596.04,502.05,South
TXN-10056,2025-11-06,CUST-1129,Corporate,Pro Laptop 15,Technology,8,1219.09,9752.72,6761.56,2991.16,South
TXN-10057,2025-05-11,CUST-1125,Home Office,Premium Notebook A5,Office Supplies,4,11.64,46.56,16.11,30.45,North
TXN-10058,2025-02-01,CUST-1148,Home Office,Smart Bluetooth Speaker,Technology,3,76.55,229.65,113.75,115.9,East
TXN-10060,2025-06-25,CUST-1031,Consumer,Premium Notebook A5,Office Supplies,9,11.7,105.3,36.65,68.65,East
TXN-10061,2025-05-27,CUST-1120,Corporate,Pro Laptop 15,Technology,7,1172.72,8209.04,5681.48,2527.56,West
TXN-10062,2025-07-10,CUST-1085,Home Office,UltraWide Monitor 34,Technology,1,381.99,381.99,271.67,110.32,South
TXN-10063,2025-10-12,CUST-1137,Consumer,High-Speed USB-C Cable,Technology,2,17.45,34.9,10.52,24.38,West
TXN-10064,2025-07-01,CUST-1003,Corporate,Pro Laptop 15,Technology,4,1180.32,4721.28,3303.48,1417.8,East
TXN-10065,2025-03-26,CUST-1086,Home Office,Sticky Notes Pastel,Office Supplies,1,7.74,7.74,1.95,5.79,North
TXN-10066,2025-06-23,CUST-1079,Consumer,Ergonomic Chair,Furniture,7,248.42,1738.94,1143.18,595.76,East
TXN-10067,2025-08-16,CUST-1014,Consumer,Premium Notebook A5,Office Supplies,3,11.52,34.56,12.29,22.27,East
TXN-10068,2025-08-03,CUST-1134,Corporate,Filing Cabinet 3-Drawer,Furniture,7,148.33,1038.31,571.28,467.03,West
TXN-10069,2025-07-21,CUST-1048,Home Office,High-Speed USB-C Cable,Technology,5,18.17,90.85,27.06,63.79,North
TXN-10070,2025-05-27,CUST-1025,Corporate,Standing Desk Frame,Furniture,8,295.92,2367.36,1401.71,965.65,West
TXN-10071,2025-08-12,CUST-1127,Corporate,Executive Wooden Desk,Furniture,1,458.65,458.65,270.33,188.32,North
TXN-10072,2025-10-29,CUST-1044,Corporate,Sticky Notes Pastel,Office Supplies,10,8.27,82.7,20.82,61.88,East
TXN-10073,2025-03-20,CUST-1140,Corporate,Ergonomic Chair,Furniture,5,248.6,1243.0,822.49,420.51,West
TXN-10074,2025-08-21,CUST-1089,Home Office,High-Speed USB-C Cable,Technology,3,17.99,53.97,16.34,37.63,East
TXN-10075,2025-07-15,CUST-1046,Consumer,Executive Wooden Desk,Furniture,8,454.12,3632.96,2151.8,1481.16,West
TXN-10076,2025-03-04,CUST-1100,Consumer,Premium Notebook A5,Office Supplies,9,12.43,111.87,38.77,73.1,South
TXN-10077,2025-02-27,CUST-1123,Consumer,Smart Bluetooth Speaker,Technology,4,83.23,332.92,167.36,165.56,West
TXN-10078,2025-04-27,CUST-1060,Consumer,Gel Pens (Pack of 12),Office Supplies,4,15.07,60.28,18.4,41.88,South
TXN-10510,2025-01-30,CUST-1019,Consumer,Smart Bluetooth Speaker,Technology,3,80.09,240.27,121.99,118.28,West
TXN-10079,2025-09-02,CUST-1135,Corporate,Pro Laptop 15,Technology,9,1208.29,10874.61,7657.9,3216.71,South
TXN-10081,2025-07-28,CUST-1059,Corporate,Pro Laptop 15,Technology,8,1246.29,9970.32,6955.3,3015.02,South
TXN-10082,2025-03-07,CUST-1088,Home Office,UltraWide Monitor 34,Technology,1,391.1,391.1,281.08,110.02,North
TXN-10083,2025-09-12,CUST-1042,Home Office,Premium Notebook A5,Office Supplies,8,12.56,100.48,34.98,65.5,North
TXN-10084,2025-02-05,CUST-1129,Consumer,Standing Desk Frame,Furniture,8,290.54,2324.32,1384.36,939.96,South
TXN-10085,2025-07-17,CUST-1038,Home Office,Filing Cabinet 3-Drawer,Furniture,1,149.96,149.96,82.27,67.69,East
TXN-10086,2025-12-19,CUST-1035,Corporate,Sticky Notes Pastel,Office Supplies,9,8.01,72.09,18.07,54.02,West
TXN-10087,2025-03-15,CUST-1086,Home Office,Sticky Notes Pastel,Office Supplies,5,8.23,41.15,10.16,30.99,South
TXN-10088,2025-01-01,CUST-1074,Home Office,Ergonomic Chair,Furniture,10,243.54,2435.4,1577.17,858.23,West
TXN-10089,2025-11-23,CUST-1065,Consumer,UltraWide Monitor 34,Technology,6,418.14,2508.84,1803.61,705.23,West
TXN-10090,2025-07-02,CUST-1104,Corporate,Smart Bluetooth Speaker,Technology,7,81.94,573.58,282.03,291.55,West
TXN-10091,2025-04-18,CUST-1019,Corporate,Gel Pens (Pack of 12),Office Supplies,8,15.56,124.48,37.41,87.07,South
TXN-10092,2025-04-21,CUST-1044,Corporate,Sticky Notes Pastel,Office Supplies,10,7.64,76.4,19.16,57.24,West
TXN-10093,2025-12-03,CUST-1036,Home Office,Executive Wooden Desk,Furniture,1,446.98,446.98,264.97,182.01,South
TXN-10094,2025-02-18,CUST-1006,Corporate,Smart Bluetooth Speaker,Technology,4,80.88,323.52,162.92,160.6,East
TXN-10095,2025-03-24,CUST-1117,Corporate,UltraWide Monitor 34,Technology,7,411.05,2877.35,2032.56,844.79,South
TXN-10097,2025-05-17,CUST-1095,Corporate,Pro Laptop 15,Technology,8,1208.51,9668.08,6753.15,2914.93,North
TXN-10098,2025-04-20,CUST-1101,Home Office,Sticky Notes Pastel,Office Supplies,6,8.2,49.2,12.31,36.89,South
TXN-10868,2025-05-20,CUST-1102,Corporate,Smart Bluetooth Speaker,Technology,10,81.87,818.7,404.27,414.43,North
TXN-10099,2025-05-22,CUST-1062,Consumer,Smart Bluetooth Speaker,Technology,1,76.88,76.88,38.34,38.54,West
TXN-10100,2025-01-28,CUST-1016,Consumer,Standing Desk Frame,Furniture,8,304.0,2432.0,1432.69,999.31,East
TXN-10101,2025-03-08,CUST-1125,Corporate,Gel Pens (Pack of 12),Office Supplies,7,14.97,104.79,31.96,72.83,East
TXN-10103,2025-06-26,CUST-1015,Home Office,Smart Bluetooth Speaker,Technology,4,79.98,319.92,160.73,159.19,North
TXN-10104,2025-07-13,CUST-1037,Consumer,High-Speed USB-C Cable,Technology,2,17.49,34.98,10.33,24.65,West
TXN-10105,2025-08-13,CUST-1120,Home Office,UltraWide Monitor 34,Technology,7,392.51,2747.57,1964.79,782.78,West
TXN-10106,2025-07-29,CUST-1145,Consumer,Standing Desk Frame,Furniture,3,296.52,889.56,538.45,351.11,East
TXN-10107,2025-03-22,CUST-1141,Home Office,Gel Pens (Pack of 12),Office Supplies,6,15.54,93.24,27.64,65.6,East
TXN-10108,2025-11-03,CUST-1131,Home Office,Sticky Notes Pastel,Office Supplies,4,8.09,32.36,8.15,24.21,East
TXN-10109,2025-11-18,CUST-1050,Corporate,Wireless Mouse M2,Technology,7,23.96,167.72,66.47,101.25,West
TXN-10110,2025-06-21,CUST-1090,Home Office,UltraWide Monitor 34,Technology,7,380.59,2664.13,1881.41,782.72,North
TXN-10111,2025-08-23,CUST-1080,Home Office,Ergonomic Chair,Furniture,10,255.39,2553.9,1691.19,862.71,South
TXN-10113,2025-08-30,CUST-1017,Home Office,Premium Notebook A5,Office Supplies,2,11.62,23.24,7.98,15.26,North
TXN-10114,2025-05-04,CUST-1092,Home Office,Ergonomic Chair,Furniture,6,241.49,1448.94,937.9,511.04,East
TXN-10116,2025-03-27,CUST-1066,Corporate,Premium Notebook A5,Office Supplies,4,12.08,48.32,16.71,31.61,East
TXN-10117,2025-04-15,CUST-1084,Corporate,Filing Cabinet 3-Drawer,Furniture,3,155.74,467.22,254.4,212.82,South
TXN-10119,2025-04-30,CUST-1077,Consumer,Filing Cabinet 3-Drawer,Furniture,1,153.66,153.66,84.65,69.01,North
TXN-10120,2025-11-27,CUST-1003,Home Office,UltraWide Monitor 34,Technology,7,399.46,2796.22,1997.62,798.6,East
TXN-10121,2025-10-30,CUST-1114,Consumer,Gel Pens (Pack of 12),Office Supplies,1,14.51,14.51,4.32,10.19,West
TXN-10122,2025-04-29,CUST-1014,Corporate,Pro Laptop 15,Technology,9,1171.33,10541.97,7406.79,3135.18,East
TXN-10123,2025-09-02,CUST-1031,Home Office,Ergonomic Chair,Furniture,6,238.98,1433.88,916.97,516.91,West
TXN-10125,2025-08-23,CUST-1085,Home Office,Smart Bluetooth Speaker,Technology,1,81.0,81.0,41.07,39.93,East
TXN-10127,2025-08-09,CUST-1135,Home Office,High-Speed USB-C Cable,Technology,10,18.52,185.2,56.6,128.6,West
TXN-10128,2025-11-28,CUST-1093,Corporate,Gel Pens (Pack of 12),Office Supplies,4,14.28,57.12,17.13,39.99,West
TXN-10130,2025-03-28,CUST-1100,Consumer,UltraWide Monitor 34,Technology,6,404.98,2429.88,1728.37,701.51,South
TXN-10131,2025-05-16,CUST-1078,Consumer,Pro Laptop 15,Technology,6,1188.92,7133.52,4944.24,2189.28,West
TXN-10132,2025-03-12,CUST-1073,Home Office,Wireless Mouse M2,Technology,7,25.42,177.94,70.04,107.9,South
TXN-10133,2025-07-31,CUST-1041,Home Office,Smart Bluetooth Speaker,Technology,10,82.42,824.2,408.56,415.64,East
TXN-10134,2025-04-06,CUST-1050,Corporate,UltraWide Monitor 34,Technology,5,403.88,2019.4,1455.79,563.61,North
TXN-10135,2025-12-20,CUST-1016,Home Office,Filing Cabinet 3-Drawer,Furniture,9,144.89,1304.01,708.86,595.15,East
TXN-10136,2025-08-30,CUST-1017,Home Office,Pro Laptop 15,Technology,10,1159.66,11596.6,8210.39,3386.21,East
TXN-10137,2025-05-18,CUST-1150,Corporate,UltraWide Monitor 34,Technology,3,403.11,1209.33,854.27,355.06,East
TXN-10138,2025-09-19,CUST-1054,Consumer,Standing Desk Frame,Furniture,3,295.34,886.02,533.03,352.99,West
TXN-10139,2025-02-09,CUST-1040,Consumer,Standing Desk Frame,Furniture,7,293.66,2055.62,1220.42,835.2,South
TXN-10140,2025-02-06,CUST-1042,Home Office,Premium Notebook A5,Office Supplies,2,11.75,23.5,8.26,15.24,West
TXN-10141,2025-05-23,CUST-1048,Home Office,Ergonomic Chair,Furniture,1,252.98,252.98,161.98,91.0,North
TXN-10142,2025-01-06,CUST-1136,Corporate,High-Speed USB-C Cable,Technology,5,17.3,86.5,26.35,60.15,South
TXN-10143,2025-02-17,CUST-1023,Home Office,Pro Laptop 15,Technology,8,1245.87,9966.96,7042.65,2924.31,North
TXN-10529,2025-09-17,CUST-1041,Corporate,Sticky Notes Pastel,Office Supplies,7,8.32,58.24,14.41,43.83,South
TXN-10144,2025-11-27,CUST-1114,Corporate,Filing Cabinet 3-Drawer,Furniture,6,147.51,885.06,495.37,389.69,West
TXN-10145,2025-08-16,CUST-1143,Corporate,Smart Bluetooth Speaker,Technology,10,79.85,798.5,396.3,402.2,West
TXN-10146,2025-12-28,CUST-1088,Corporate,UltraWide Monitor 34,Technology,6,387.39,2324.34,1649.12,675.22,North
TXN-11539,2025-03-14,CUST-1056,Corporate,High-Speed USB-C Cable,Technology,2,18.7,37.4,11.02,26.38,East
TXN-10147,2025-03-14,CUST-1017,Home Office,Smart Bluetooth Speaker,Technology,5,80.32,401.6,200.32,201.28,South
TXN-10148,2025-12-03,CUST-1057,Corporate,Wireless Mouse M2,Technology,3,25.87,77.61,30.84,46.77,East
TXN-10149,2025-03-12,CUST-1068,Corporate,Gel Pens (Pack of 12),Office Supplies,1,14.42,14.42,4.38,10.04,West
TXN-10150,2025-09-30,CUST-1134,Corporate,Wireless Mouse M2,Technology,2,24.6,49.2,19.45,29.75,South
TXN-10151,2025-10-06,CUST-1086,Consumer,Smart Bluetooth Speaker,Technology,1,79.11,79.11,39.68,39.43,East
TXN-10152,2025-06-28,CUST-1014,Consumer,Ergonomic Chair,Furniture,3,252.09,756.27,488.78,267.49,North
TXN-10153,2025-08-04,CUST-1082,Consumer,Smart Bluetooth Speaker,Technology,2,77.22,154.44,77.3,77.14,West
TXN-10154,2025-12-28,CUST-1137,Corporate,Gel Pens (Pack of 12),Office Supplies,1,15.42,15.42,4.69,10.73,West
TXN-10155,2025-06-05,CUST-1115,Corporate,Smart Bluetooth Speaker,Technology,3,80.81,242.43,119.54,122.89,West
TXN-10156,2025-09-09,CUST-1138,Home Office,Wireless Mouse M2,Technology,9,24.67,222.03,89.72,132.31,East
TXN-10157,2025-10-20,CUST-1088,Corporate,Gel Pens (Pack of 12),Office Supplies,1,15.11,15.11,4.5,10.61,West
TXN-10159,2025-07-13,CUST-1138,Corporate,Wireless Mouse M2,Technology,5,24.17,120.85,48.65,72.2,North
TXN-10160,2025-06-01,CUST-1121,Home Office,Gel Pens (Pack of 12),Office Supplies,10,15.0,150.0,44.66,105.34,West
TXN-10161,2025-02-04,CUST-1020,Home Office,Wireless Mouse M2,Technology,9,26.1,234.9,92.17,142.73,East
TXN-10162,2025-11-09,CUST-1069,Consumer,Smart Bluetooth Speaker,Technology,10,82.92,829.2,407.8,421.4,East
TXN-10163,2025-10-02,CUST-1138,Home Office,Gel Pens (Pack of 12),Office Supplies,7,15.47,108.29,32.61,75.68,West
TXN-10164,2025-08-28,CUST-1037,Home Office,Gel Pens (Pack of 12),Office Supplies,8,14.31,114.48,34.64,79.84,South
TXN-10166,2025-10-15,CUST-1074,Consumer,Filing Cabinet 3-Drawer,Furniture,1,150.67,150.67,82.9,67.77,West
TXN-10168,2025-04-05,CUST-1138,Consumer,Pro Laptop 15,Technology,7,1199.29,8395.03,5962.15,2432.88,East
TXN-11660,2025-06-20,CUST-1075,Home Office,Filing Cabinet 3-Drawer,Furniture,2,142.81,285.62,154.49,131.13,West
TXN-11619,2025-11-14,CUST-1087,Home Office,Standing Desk Frame,Furniture,3,309.58,928.74,551.39,377.35,South
TXN-10169,2025-08-04,CUST-1044,Corporate,Filing Cabinet 3-Drawer,Furniture,1,147.02,147.02,81.6,65.42,North
TXN-10170,2025-01-22,CUST-1054,Home Office,UltraWide Monitor 34,Technology,5,384.2,1921.0,1394.07,526.93,East
TXN-10171,2025-04-21,CUST-1018,Home Office,Executive Wooden Desk,Furniture,10,471.33,4713.3,2790.74,1922.56,West
TXN-10172,2025-08-03,CUST-1052,Corporate,Standing Desk Frame,Furniture,8,288.07,2304.56,1380.89,923.67,East
TXN-10173,2025-03-21,CUST-1033,Consumer,Wireless Mouse M2,Technology,9,25.35,228.15,92.26,135.89,North
TXN-10175,2025-09-22,CUST-1102,Corporate,Standing Desk Frame,Furniture,6,292.88,1757.28,1042.77,714.51,North
TXN-10176,2025-02-11,CUST-1090,Corporate,Premium Notebook A5,Office Supplies,8,11.45,91.6,32.68,58.92,West
TXN-10177,2025-07-25,CUST-1092,Corporate,Sticky Notes Pastel,Office Supplies,9,7.78,70.02,17.16,52.86,East
TXN-10178,2025-05-25,CUST-1129,Home Office,High-Speed USB-C Cable,Technology,5,17.57,87.85,26.13,61.72,West
TXN-10179,2025-01-08,CUST-1049,Home Office,Gel Pens (Pack of 12),Office Supplies,4,15.57,62.28,18.93,43.35,East
TXN-10180,2025-06-14,CUST-1058,Consumer,Filing Cabinet 3-Drawer,Furniture,2,150.95,301.9,168.31,133.59,East
TXN-10181,2025-05-07,CUST-1086,Home Office,Smart Bluetooth Speaker,Technology,7,78.77,551.39,275.92,275.47,North
TXN-10182,2025-07-23,CUST-1046,Corporate,Executive Wooden Desk,Furniture,8,458.08,3664.64,2199.52,1465.12,West
TXN-10183,2025-03-08,CUST-1004,Corporate,Sticky Notes Pastel,Office Supplies,10,7.8,78.0,19.6,58.4,East
TXN-10185,2025-06-07,CUST-1121,Home Office,Pro Laptop 15,Technology,5,1184.79,5923.95,4187.05,1736.9,East
TXN-10186,2025-01-16,CUST-1145,Home Office,Gel Pens (Pack of 12),Office Supplies,4,15.18,60.72,18.06,42.66,East
TXN-10189,2025-02-26,CUST-1106,Consumer,High-Speed USB-C Cable,Technology,9,17.74,159.66,47.98,111.68,West
TXN-10190,2025-04-02,CUST-1147,Corporate,UltraWide Monitor 34,Technology,6,415.64,2493.84,1767.14,726.7,East
TXN-10192,2025-05-16,CUST-1115,Consumer,Smart Bluetooth Speaker,Technology,10,83.23,832.3,415.07,417.23,East
TXN-10193,2025-12-12,CUST-1047,Corporate,Gel Pens (Pack of 12),Office Supplies,8,14.66,117.28,35.82,81.46,West
TXN-10194,2025-03-06,CUST-1036,Consumer,Ergonomic Chair,Furniture,7,259.78,1818.46,1188.18,630.28,West
TXN-10195,2025-03-27,CUST-1113,Home Office,Pro Laptop 15,Technology,9,1168.89,10520.01,7316.67,3203.34,West
TXN-10196,2025-07-29,CUST-1128,Corporate,Ergonomic Chair,Furniture,2,250.61,501.22,322.38,178.84,South
TXN-10197,2025-05-06,CUST-1071,Corporate,Ergonomic Chair,Furniture,7,239.1,1673.7,1088.07,585.63,South
TXN-10198,2025-05-19,CUST-1090,Home Office,Wireless Mouse M2,Technology,6,25.51,153.06,62.2,90.86,West
TXN-10199,2025-06-11,CUST-1148,Consumer,Sticky Notes Pastel,Office Supplies,6,7.91,47.46,11.68,35.78,East
TXN-10200,2025-03-09,CUST-1139,Home Office,Gel Pens (Pack of 12),Office Supplies,2,14.62,29.24,8.79,20.45,West
TXN-10201,2025-10-21,CUST-1101,Corporate,UltraWide Monitor 34,Technology,2,391.09,782.18,573.34,208.84,East
TXN-10202,2025-08-13,CUST-1035,Corporate,Smart Bluetooth Speaker,Technology,2,82.87,165.74,81.26,84.48,East
TXN-10918,2025-07-28,CUST-1144,Home Office,Gel Pens (Pack of 12),Office Supplies,5,14.76,73.8,22.46,51.34,South
TXN-10203,2025-10-21,CUST-1095,Consumer,Ergonomic Chair,Furniture,6,245.49,1472.94,958.59,514.35,West
TXN-10204,2025-02-26,CUST-1129,Corporate,Standing Desk Frame,Furniture,6,309.05,1854.3,1090.7,763.6,South
TXN-10205,2025-10-16,CUST-1147,Corporate,UltraWide Monitor 34,Technology,7,383.63,2685.41,1933.23,752.18,East
TXN-10206,2025-12-21,CUST-1105,Home Office,High-Speed USB-C Cable,Technology,6,17.92,107.52,32.07,75.45,East
TXN-10207,2025-05-14,CUST-1057,Corporate,Premium Notebook A5,Office Supplies,8,11.45,91.6,32.56,59.04,South
TXN-10208,2025-12-06,CUST-1006,Consumer,Smart Bluetooth Speaker,Technology,5,81.79,408.95,205.09,203.86,South
TXN-10209,2025-05-16,CUST-1126,Home Office,Pro Laptop 15,Technology,2,1168.4,2336.8,1619.4,717.4,West
TXN-10210,2025-08-28,CUST-1107,Corporate,Gel Pens (Pack of 12),Office Supplies,9,14.86,133.74,40.27,93.47,South
TXN-10211,2025-01-26,CUST-1081,Corporate,Standing Desk Frame,Furniture,6,293.39,1760.34,1073.28,687.06,South
TXN-10212,2025-08-28,CUST-1130,Home Office,Filing Cabinet 3-Drawer,Furniture,2,147.02,294.04,160.19,133.85,East
TXN-10213,2025-10-24,CUST-1111,Consumer,Sticky Notes Pastel,Office Supplies,2,7.75,15.5,3.94,11.56,North
TXN-10214,2025-04-10,CUST-1017,Consumer,Ergonomic Chair,Furniture,8,255.83,2046.64,1306.98,739.66,East
TXN-10215,2025-04-29,CUST-1146,Home Office,Ergonomic Chair,Furniture,9,255.72,2301.48,1522.66,778.82,North
TXN-10217,2025-01-25,CUST-1096,Consumer,Executive Wooden Desk,Furniture,7,444.18,3109.26,1864.0,1245.26,South
TXN-10218,2025-05-27,CUST-1068,Home Office,Wireless Mouse M2,Technology,2,24.15,48.3,19.41,28.89,North
TXN-10219,2025-09-24,CUST-1119,Corporate,Standing Desk Frame,Furniture,2,303.0,606.0,370.81,235.19,North
TXN-10220,2025-02-18,CUST-1146,Home Office,Filing Cabinet 3-Drawer,Furniture,7,150.57,1053.99,576.74,477.25,East
TXN-10221,2025-10-19,CUST-1136,Home Office,Filing Cabinet 3-Drawer,Furniture,2,147.47,294.94,165.14,129.8,North
TXN-10222,2025-09-27,CUST-1115,Corporate,High-Speed USB-C Cable,Technology,1,18.87,18.87,5.72,13.15,South
TXN-10223,2025-07-13,CUST-1042,Corporate,Premium Notebook A5,Office Supplies,1,11.78,11.78,4.13,7.65,North
TXN-10224,2025-08-10,CUST-1046,Corporate,UltraWide Monitor 34,Technology,9,401.1,3609.9,2620.79,989.11,North
TXN-10225,2025-03-15,CUST-1097,Home Office,Ergonomic Chair,Furniture,2,245.73,491.46,320.78,170.68,West
TXN-10226,2025-11-06,CUST-1002,Home Office,Gel Pens (Pack of 12),Office Supplies,10,15.27,152.7,46.36,106.34,North
TXN-10227,2025-04-02,CUST-1026,Home Office,Ergonomic Chair,Furniture,4,249.06,996.24,656.62,339.62,West
TXN-10228,2025-05-09,CUST-1080,Corporate,High-Speed USB-C Cable,Technology,3,17.82,53.46,16.3,37.16,West
TXN-10229,2025-08-04,CUST-1101,Corporate,Pro Laptop 15,Technology,10,1243.61,12436.1,8873.16,3562.94,East
TXN-10230,2025-10-07,CUST-1028,Home Office,UltraWide Monitor 34,Technology,7,400.69,2804.83,2035.47,769.36,East
TXN-10231,2025-11-28,CUST-1085,Corporate,UltraWide Monitor 34,Technology,6,419.46,2516.76,1820.62,696.14,West
