Transaction_ID,Date,Customer_ID,Segment,Product_Name,Category,Quantity,Unit_Price,Cost_Percentage,Region
TXN-10033,2025-10-07,CUST-1047,Corporate,Premium Notebook A5,Office supplies,6,12.07,0.3466,East
TXN-10034,2025-07-18,CUST-1016,Consumer,Pro Laptop 15,Tech,5,,0.6992,SOUTH
TXN-10035,2025-09-18,CUST-1125,Home Office,UltraWide Monitor 34,TECHNOLOGY,5,395.23,0.7075,North
TXN-10036,2025-04-21,CUST-1127,Consumer,High-Speed USB-C Cable,TECHNOLOGY,8,17.43,0.2952,West
TXN-10037,2025-04-28,CUST-1085,Consumer,Standing Desk Frame,furniture,8,309.89,0.5913,north
TXN-10038,03/10/2025,CUST-1105,Home Office,Sticky Notes Pastel,Office supplies,3,8.34,0.2477,east
TXN-10039,2025-10-22,CUST-1094,Home Office,Premium Notebook A5,OFFICE SUPPLIES,2,11.46,0.3516,East
TXN-10040,2025-01-11,CUST-1119,Corporate,Ergonomic Chair,Furniture  ,1,262.41,0.6612,NORTH
TXN-10041,2025-03-18,CUST-1133,Consumer,Smart Bluetooth Speaker,TECHNOLOGY,9,82.12,0.4994,EAST
TXN-10042,2025-05-31,CUST-1029,Corporate,Pro Laptop 15,Technology,10,1162.65,0.6908, East 
TXN-10043,2025-10-24,CUST-1020,Home Office,High-Speed USB-C Cable,  Technology ,9,18.4,0.3054,West
TXN-10044,2025-10-25,CUST-1032,Corporate,Wireless Mouse M2,  Technology ,9,24.47,0.3964,West
TXN-10045,2025-11-06,CUST-1003,Home Office,Wireless Mouse M2,TECHNOLOGY,3,24.75,0.4052,WEST
TXN-10046,08/11/2025,CUST-1108,Corporate,Executive Wooden Desk,Furniture  ,4,439.0,0.591,North
TXN-10047,23/10/2025,CUST-1033,Home Office,Smart Bluetooth Speaker,TECHNOLOGY,9,83.73,0.5032,North
TXN-10048,2025-03-17,CUST-1024,Home Office,High-Speed USB-C Cable,TECHNOLOGY,2,17.71,0.2979,WEST
TXN-10049,2025/07/23,CUST-1010,Corporate,Smart Bluetooth Speaker,TECHNOLOGY,10,83.48,0.5008,East
TXN-10050,2025-11-13,CUST-1101,Corporate,Smart Bluetooth Speaker,TECHNOLOGY,2,80.56,0.4927,WEST
TXN-10051,2025-04-18,CUST-1083,Consumer,Gel Pens (Pack of 12),off_supplies,9,14.28,0.302,north
TXN-10052,2025-08-18,CUST-1136,Home Office,Filing Cabinet 3-Drawer,furniture,6,157.35,0.5522,WEST
TXN-10053,2025-11-28,CUST-1125,Consumer,Executive Wooden Desk,FURNITURE,1,454.5,0.6007,NORTH
TXN-10054,2025/09/11,CUST-1012,Corporate,High-Speed USB-C Cable,TECHNOLOGY,2,17.3,0.2957,south
TXN-10055,2025-07-02,CUST-1020,Corporate,Filing Cabinet 3-Drawer,furniture,7,156.87,0.5428,SOUTH
TXN-10056,2025-11-06,CUST-1129,Corporate,Pro Laptop 15,Technology,8,1219.09,0.6933,South
TXN-10057,2025-05-11,CUST-1125,Home Office,Premium Notebook A5,Office Supplies,4,11.64,0.346,North
TXN-10058,2025-02-01,CUST-1148,Home Office,Smart Bluetooth Speaker,Technology,3,76.55,0.4953,EAST
TXN-10059,INVALID_DATE,CUST-1069,Corporate,Pro Laptop 15,Tech,10,1187.39,0.6937,WEST
TXN-10060,2025/06/25,CUST-1031,Consumer,Premium Notebook A5,Office Supplies,9,11.7,0.3481,East
TXN-10061,2025-05-27,CUST-1120,Corporate,Pro Laptop 15,Tech,7,1172.72,0.6921,WEST
TXN-10062,2025-07-10,CUST-1085,Home Office,UltraWide Monitor 34,  Technology ,1,381.99,0.7112,South
TXN-10063,2025-10-12,CUST-1137,Consumer,High-Speed USB-C Cable,TECHNOLOGY,2,17.45,0.3013,west
TXN-10064,01/07/2025,CUST-1003,Corporate,Pro Laptop 15,Technology,4,1180.32,0.6997, East 
TXN-10065,2025-03-26,CUST-1086,Home Office,Sticky Notes Pastel,Office supplies,1,7.74,0.2515,north
TXN-10066,2025-06-23,CUST-1079,Consumer,Ergonomic Chair,FURNITURE,7,248.42,0.6574,East
TXN-10067,2025-08-16,CUST-1014,Consumer,Premium Notebook A5,Office Supplies,3,11.52,0.3555, East 
TXN-10068,2025-08-03,CUST-1134,Corporate,Filing Cabinet 3-Drawer,furniture,7,148.33,0.5502,west
TXN-10069,21/07/2025,CUST-1048,Home Office,High-Speed USB-C Cable,TECHNOLOGY,5,18.17,0.2978,North
TXN-10070,2025-05-27,CUST-1025,Corporate,Standing Desk Frame,furniture,8,295.92,0.5921,West
TXN-10071,2025-08-12,CUST-1127,Corporate,Executive Wooden Desk,Furniture  ,1,458.65,0.5894,NORTH
TXN-10072,2025-10-29,CUST-1044,Corporate,Sticky Notes Pastel,OFFICE SUPPLIES,10,8.27,0.2518,EAST
TXN-10073,2025/03/20,CUST-1140,Corporate,Ergonomic Chair,FURNITURE,5,248.6,0.6617,West
TXN-10074,2025-08-21,CUST-1089,Home Office,High-Speed USB-C Cable,Technology,3,,0.3028,East
TXN-10075,2025-07-15,CUST-1046,Consumer,Executive Wooden Desk,Furniture,8,454.12,0.5923,west
TXN-10076,2025/03/04,CUST-1100,Consumer,Premium Notebook A5,off_supplies,9,12.43,0.3466,south
TXN-10077,2025-02-27,CUST-1123,Consumer,Smart Bluetooth Speaker,Technology,4,83.23,0.5027,WEST
TXN-10078,2025-04-27,CUST-1060,Consumer,Gel Pens (Pack of 12),off_supplies,4,15.07,0.3053,South
TXN-10510,2025-01-30,CUST-1019,Consumer,Smart Bluetooth Speaker,  Technology ,3,0.0,0.5077,west
TXN-10079,02/09/2025,CUST-1135,Corporate,Pro Laptop 15,Tech,9,1208.29,0.7042,South
TXN-10080,2025-03-25,CUST-1093,Home Office,Filing Cabinet 3-Drawer,Furniture  ,-1,152.37,0.5601,WEST
TXN-10081,2025/07/28,CUST-1059,Corporate,Pro Laptop 15,Tech,8,1246.29,0.6976,south
TXN-10082,07/03/2025,CUST-1088,Home Office,UltraWide Monitor 34,  Technology ,1,391.1,0.7187,north
TXN-10083,2025-09-12,CUST-1042,Home Office,Premium Notebook A5,OFFICE SUPPLIES,8,12.56,0.3481,north
TXN-10084,2025-02-05,CUST-1129,Consumer,Standing Desk Frame,Furniture,8,290.54,0.5956,South
TXN-10085,17/07/2025,CUST-1038,Home Office,Filing Cabinet 3-Drawer,FURNITURE,1,149.96,0.5486, East 
TXN-10086,2025-12-19,CUST-1035,Corporate,Sticky Notes Pastel,off_supplies,9,8.01,0.2506,West
TXN-10087,2025-03-15,CUST-1086,Home Office,Sticky Notes Pastel,OFFICE SUPPLIES,5,8.23,0.247,south
TXN-10088,2025-01-01,CUST-1074,Home Office,Ergonomic Chair,Furniture  ,10,243.54,0.6476,WEST
TXN-10089,2025-11-23,CUST-1065,Consumer,UltraWide Monitor 34,  Technology ,6,418.14,0.7189,WEST
TXN-10090,2025-07-02,CUST-1104,Corporate,Smart Bluetooth Speaker,TECHNOLOGY,7,81.94,0.4917,WEST
TXN-10091,2025-04-18,CUST-1019,Corporate,Gel Pens (Pack of 12),Office supplies,8,15.56,0.3005,south
TXN-10092,21/04/2025,CUST-1044,Corporate,Sticky Notes Pastel,Office supplies,10,7.64,0.2508,WEST
TXN-10093,2025-12-03,CUST-1036,Home Office,Executive Wooden Desk,FURNITURE,1,446.98,0.5928,SOUTH
TXN-10094,2025-02-18,CUST-1006,Corporate,Smart Bluetooth Speaker,Tech,4,80.88,0.5036,East
TXN-10095,2025-03-24,CUST-1117,Corporate,UltraWide Monitor 34,Technology,7,411.05,0.7064,south
TXN-10096,2025-09-06,CUST-1118,Corporate,High-Speed USB-C Cable,TECHNOLOGY,-1,18.33,0.2961,WEST
TXN-10097,2025-05-17,CUST-1095,Corporate,Pro Laptop 15,Tech,8,1208.51,0.6985,North
TXN-10098,2025-04-20,CUST-1101,Home Office,Sticky Notes Pastel,Office Supplies,6,8.2,0.2502,SOUTH
TXN-10868,20/05/2025,CUST-1102,Corporate,Smart Bluetooth Speaker,Tech,10,81.87,0.4938,North
TXN-10099,2025-05-22,CUST-1062,Consumer,Smart Bluetooth Speaker,  Technology ,1,76.88,0.4987,West
TXN-10100,2025-01-28,CUST-1016,Consumer,Standing Desk Frame,FURNITURE,8,304.0,0.5891, East 
TXN-10101,2025-03-08,CUST-1125,Corporate,Gel Pens (Pack of 12),Office Supplies,7,14.97,0.305,East
TXN-10102,2025-11-17,CUST-1001,Consumer,High-Speed USB-C Cable,TECHNOLOGY,,18.46,0.3031,south
TXN-10103,2025-06-26,CUST-1015,Home Office,Smart Bluetooth Speaker,  Technology ,4,79.98,0.5024,North
TXN-10104,2025-07-13,CUST-1037,Consumer,High-Speed USB-C Cable,Tech,2,17.49,0.2954,West
TXN-10105,13/08/2025,CUST-1120,Home Office,UltraWide Monitor 34,Tech,7,392.51,0.7151,west
TXN-10106,29/07/2025,CUST-1145,Consumer,Standing Desk Frame,Furniture  ,3,296.52,0.6053,East
TXN-10107,2025-03-22,CUST-1141,Home Office,Gel Pens (Pack of 12),Office supplies,6,15.54,0.2964, East 
TXN-10108,2025-11-03,CUST-1131,Home Office,Sticky Notes Pastel,Office Supplies,4,8.09,0.2519,east
TXN-10109,18/11/2025,CUST-1050,Corporate,Wireless Mouse M2,Tech,7,23.96,0.3963,West
TXN-10110,2025-06-21,CUST-1090,Home Office,UltraWide Monitor 34,Technology,7,380.59,0.7062,NORTH
TXN-10111,2025-08-23,CUST-1080,Home Office,Ergonomic Chair,Furniture,10,255.39,0.6622,south
TXN-10112,,CUST-1032,Consumer,Pro Laptop 15,Tech,9,1196.16,0.7085,NORTH
TXN-10113,2025-08-30,CUST-1017,Home Office,Premium Notebook A5,Office supplies,2,11.62,0.3433,north
TXN-10114,2025/05/04,CUST-1092,Home Office,Ergonomic Chair,furniture,6,241.49,0.6473,East
TXN-10115,INVALID_DATE,CUST-1136,Consumer,Standing Desk Frame,Furniture  ,6,290.14,0.5978,south
TXN-10116,2025-03-27,CUST-1066,Corporate,Premium Notebook A5,Office supplies,4,12.08,0.3458,east
TXN-10117,2025-04-15,CUST-1084,Corporate,Filing Cabinet 3-Drawer,furniture,3,155.74,0.5445,south
TXN-10118,2025-12-25,CUST-1096,Home Office,UltraWide Monitor 34,Technology,8,404.69,0.7279,south
TXN-10119,2025/04/30,CUST-1077,Consumer,Filing Cabinet 3-Drawer,Furniture,1,153.66,0.5509,north
TXN-10120,2025-11-27,CUST-1003,Home Office,UltraWide Monitor 34,  Technology ,7,,0.7144,EAST
TXN-10121,2025-10-30,CUST-1114,Consumer,Gel Pens (Pack of 12),Office supplies,1,14.51,0.2975,WEST
TXN-10122,2025-04-29,CUST-1014,Corporate,Pro Laptop 15,  Technology ,9,1171.33,0.7026,east
TXN-10123,2025-09-02,CUST-1031,Home Office,Ergonomic Chair,Furniture,6,238.98,0.6395,WEST
TXN-10124,2025-07-23,CUST-1143,Corporate,Wireless Mouse M2,Technology,-1,25.76,0.3969,East
TXN-10125,23/08/2025,CUST-1085,Home Office,Smart Bluetooth Speaker,Technology,1,81.0,0.507, East 
TXN-10126,2025-09-03,CUST-1045,Corporate,Smart Bluetooth Speaker,  Technology ,-3,83.63,0.4922,WEST
TXN-10127,2025-08-09,CUST-1135,Home Office,High-Speed USB-C Cable,TECHNOLOGY,10,18.52,0.3056,WEST
TXN-10128,2025-11-28,CUST-1093,Corporate,Gel Pens (Pack of 12),Office supplies,4,14.28,0.2999,WEST
TXN-10129,INVALID_DATE,CUST-1028,Home Office,Sticky Notes Pastel,OFFICE SUPPLIES,3,0.0,0.2455,east
TXN-10130,2025-03-28,CUST-1100,Consumer,UltraWide Monitor 34,  Technology ,6,404.98,0.7113,south
TXN-10131,2025-05-16,CUST-1078,Consumer,Pro Laptop 15,Tech,6,1188.92,0.6931,west
TXN-10132,2025-03-12,CUST-1073,Home Office,Wireless Mouse M2,  Technology ,7,25.42,0.3936,South
TXN-10133,2025-07-31,CUST-1041,Home Office,Smart Bluetooth Speaker,  Technology ,10,82.42,0.4957,East
TXN-10134,2025-04-06,CUST-1050,Corporate,UltraWide Monitor 34,TECHNOLOGY,5,403.88,0.7209,north
TXN-10135,2025/12/20,CUST-1016,Home Office,Filing Cabinet 3-Drawer,Furniture,9,144.89,0.5436,EAST
TXN-10136,2025-08-30,CUST-1017,Home Office,Pro Laptop 15,  Technology ,10,1159.66,0.708,East
TXN-10137,18/05/2025,CUST-1150,Corporate,UltraWide Monitor 34,Technology,3,403.11,0.7064,East
TXN-10138,2025-09-19,CUST-1054,Consumer,Standing Desk Frame,Furniture,3,295.34,0.6016,west
TXN-10139,09/02/2025,CUST-1040,Consumer,Standing Desk Frame,Furniture  ,7,293.66,0.5937,south
TXN-10140,2025-02-06,CUST-1042,Home Office,Premium Notebook A5,Office supplies,2,11.75,0.3514,west
TXN-10141,2025-05-23,CUST-1048,Home Office,Ergonomic Chair,FURNITURE,1,252.98,0.6403,North
TXN-10142,2025/01/06,CUST-1136,Corporate,High-Speed USB-C Cable,Tech,5,17.3,0.3046,south
TXN-10143,2025-02-17,CUST-1023,Home Office,Pro Laptop 15,TECHNOLOGY,8,1245.87,0.7066,North
TXN-10529,2025-09-17,CUST-1041,Corporate,Sticky Notes Pastel,off_supplies,7,8.32,0.2474,south
TXN-10144,2025-11-27,CUST-1114,Corporate,Filing Cabinet 3-Drawer,FURNITURE,6,147.51,0.5597,WEST
TXN-10145,16/08/2025,CUST-1143,Corporate,Smart Bluetooth Speaker,  Technology ,10,79.85,0.4963,West
TXN-10146,2025-12-28,CUST-1088,Corporate,UltraWide Monitor 34,  Technology ,6,387.39,0.7095,north
TXN-11539,2025-03-14,CUST-1056,Corporate,High-Speed USB-C Cable,Technology,2,18.7,0.2946,EAST
TXN-10147,2025-03-14,CUST-1017,Home Office,Smart Bluetooth Speaker,Tech,5,80.32,0.4988,South
TXN-10148,2025-12-03,CUST-1057,Corporate,Wireless Mouse M2,Technology,3,25.87,0.3974,east
TXN-10149,2025-03-12,CUST-1068,Corporate,Gel Pens (Pack of 12),Office supplies,1,14.42,0.3035,west
TXN-10150,2025-09-30,CUST-1134,Corporate,Wireless Mouse M2,Tech,2,24.6,0.3953,south
TXN-10151,2025-10-06,CUST-1086,Consumer,Smart Bluetooth Speaker,TECHNOLOGY,1,79.11,0.5016,east
TXN-10152,2025-06-28,CUST-1014,Consumer,Ergonomic Chair,Furniture,3,252.09,0.6463,North
TXN-10153,2025-08-04,CUST-1082,Consumer,Smart Bluetooth Speaker,TECHNOLOGY,2,77.22,0.5005,West
TXN-10154,2025-12-28,CUST-1137,Corporate,Gel Pens (Pack of 12),Office supplies,1,15.42,0.3041,west
TXN-10155,2025-06-05,CUST-1115,Corporate,Smart Bluetooth Speaker,Tech,3,80.81,0.4931,West
TXN-10156,2025-09-09,CUST-1138,Home Office,Wireless Mouse M2,TECHNOLOGY,9,24.67,0.4041,EAST
TXN-10157,2025/10/20,CUST-1088,Corporate,Gel Pens (Pack of 12),Office supplies,1,15.11,0.2975,west
TXN-10158,2025-01-19,CUST-1130,Consumer,Standing Desk Frame,furniture,,294.98,0.6109,NORTH
TXN-10159,2025-07-13,CUST-1138,Corporate,Wireless Mouse M2,Tech,5,24.17,0.4026,north
TXN-10160,01/06/2025,CUST-1121,Home Office,Gel Pens (Pack of 12),Office Supplies,10,0.0,0.2977,West
TXN-10161,2025-02-04,CUST-1020,Home Office,Wireless Mouse M2,Technology,9,26.1,0.3924,East
TXN-10162,2025-11-09,CUST-1069,Consumer,Smart Bluetooth Speaker,Technology,10,82.92,0.4918,east
TXN-10163,2025/10/02,CUST-1138,Home Office,Gel Pens (Pack of 12),Office Supplies,7,15.47,0.3011,WEST
TXN-10164,2025-08-28,CUST-1037,Home Office,Gel Pens (Pack of 12),off_supplies,8,14.31,0.3026,SOUTH
TXN-10165,,CUST-1042,Home Office,Gel Pens (Pack of 12),Office Supplies,6,14.69,0.2975,West
TXN-10166,2025-10-15,CUST-1074,Consumer,Filing Cabinet 3-Drawer,Furniture,1,150.67,0.5502,West
TXN-10167,INVALID_DATE,CUST-1056,Consumer,Wireless Mouse M2,Technology,10,25.12,0.3921,west
TXN-10168,05/04/2025,CUST-1138,Consumer,Pro Laptop 15,TECHNOLOGY,7,1199.29,0.7102,EAST
TXN-11660,2025-06-20,CUST-1075,Home Office,Filing Cabinet 3-Drawer,FURNITURE,2,142.81,0.5409,west
TXN-11619,2025-11-14,CUST-1087,Home Office,Standing Desk Frame,furniture,3,309.58,0.5937,South
TXN-10169,2025-08-04,CUST-1044,Corporate,Filing Cabinet 3-Drawer,furniture,1,147.02,0.555,north
TXN-10170,2025-01-22,CUST-1054,Home Office,UltraWide Monitor 34,Technology,5,384.2,0.7257,EAST
TXN-10171,2025/04/21,CUST-1018,Home Office,Executive Wooden Desk,Furniture  ,10,471.33,0.5921,WEST
TXN-10172,03/08/2025,CUST-1052,Corporate,Standing Desk Frame,Furniture,8,288.07,0.5992,EAST
TXN-10173,2025-03-21,CUST-1033,Consumer,Wireless Mouse M2,TECHNOLOGY,9,25.35,0.4044,North
TXN-10174,,CUST-1023,Consumer,UltraWide Monitor 34,  Technology ,5,411.34,0.7262,south
TXN-10175,2025-09-22,CUST-1102,Corporate,Standing Desk Frame,furniture,6,292.88,0.5934,NORTH
TXN-10176,11/02/2025,CUST-1090,Corporate,Premium Notebook A5,off_supplies,8,11.45,0.3568,west
TXN-10177,2025-07-25,CUST-1092,Corporate,Sticky Notes Pastel,Office Supplies,9,7.78,0.2451,east
TXN-10178,2025-05-25,CUST-1129,Home Office,High-Speed USB-C Cable,Tech,5,17.57,0.2974,West
TXN-10179,08/01/2025,CUST-1049,Home Office,Gel Pens (Pack of 12),off_supplies,4,15.57,0.304,EAST
TXN-10180,2025-06-14,CUST-1058,Consumer,Filing Cabinet 3-Drawer,furniture,2,150.95,0.5575, East 
TXN-10181,2025-05-07,CUST-1086,Home Office,Smart Bluetooth Speaker,TECHNOLOGY,7,78.77,0.5004,north
TXN-10182,2025-07-23,CUST-1046,Corporate,Executive Wooden Desk,Furniture  ,8,458.08,0.6002,WEST
TXN-10183,2025-03-08,CUST-1004,Corporate,Sticky Notes Pastel,OFFICE SUPPLIES,10,7.8,0.2513, East 
TXN-10184,2025-02-14,CUST-1086,Home Office,High-Speed USB-C Cable,Technology,-3,18.42,0.2972,WEST
TXN-10185,2025-06-07,CUST-1121,Home Office,Pro Laptop 15,Tech,5,1184.79,0.7068,EAST
TXN-10186,2025-01-16,CUST-1145,Home Office,Gel Pens (Pack of 12),Office supplies,4,15.18,0.2975, East 
TXN-10187,INVALID_DATE,CUST-1040,Home Office,Executive Wooden Desk,Furniture,4,428.67,0.5937,South
TXN-10188,INVALID_DATE,CUST-1061,Home Office,Sticky Notes Pastel,off_supplies,10,7.72,0.2479,EAST
TXN-10189,2025/02/26,CUST-1106,Consumer,High-Speed USB-C Cable,Tech,9,17.74,0.3005,WEST
TXN-10190,2025-04-02,CUST-1147,Corporate,UltraWide Monitor 34,Tech,6,415.64,0.7086,East
TXN-10191,,CUST-1050,Consumer,Filing Cabinet 3-Drawer,Furniture,3,149.32,0.5512,West
TXN-10192,2025-05-16,CUST-1115,Consumer,Smart Bluetooth Speaker,TECHNOLOGY,10,83.23,0.4987,east
TXN-10193,12/12/2025,CUST-1047,Corporate,Gel Pens (Pack of 12),Office Supplies,8,14.66,0.3054,WEST
TXN-10194,2025-03-06,CUST-1036,Consumer,Ergonomic Chair,Furniture  ,7,259.78,0.6534,WEST
TXN-10195,27/03/2025,CUST-1113,Home Office,Pro Laptop 15,Tech,9,1168.89,0.6955,West
TXN-10196,2025-07-29,CUST-1128,Corporate,Ergonomic Chair,furniture,2,250.61,0.6432,south
TXN-10197,2025/05/06,CUST-1071,Corporate,Ergonomic Chair,Furniture,7,239.1,0.6501,South
TXN-10198,2025-05-19,CUST-1090,Home Office,Wireless Mouse M2,Tech,6,25.51,0.4064,West
TXN-10199,2025-06-11,CUST-1148,Consumer,Sticky Notes Pastel,OFFICE SUPPLIES,6,7.91,0.246,East
TXN-10200,2025-03-09,CUST-1139,Home Office,Gel Pens (Pack of 12),OFFICE SUPPLIES,2,14.62,0.3006,West
TXN-10201,2025-10-21,CUST-1101,Corporate,UltraWide Monitor 34,TECHNOLOGY,2,391.09,0.733,east
TXN-10202,2025/08/13,CUST-1035,Corporate,Smart Bluetooth Speaker,  Technology ,2,82.87,0.4903, East 
TXN-10918,28/07/2025,CUST-1144,Home Office,Gel Pens (Pack of 12),OFFICE SUPPLIES,5,14.76,0.3043,SOUTH
TXN-10203,2025-10-21,CUST-1095,Consumer,Ergonomic Chair,furniture,6,245.49,0.6508,WEST
TXN-10204,26/02/2025,CUST-1129,Corporate,Standing Desk Frame,furniture,6,309.05,0.5882,south
TXN-10205,2025-10-16,CUST-1147,Corporate,UltraWide Monitor 34,Tech,7,383.63,0.7199,EAST
TXN-10206,2025-12-21,CUST-1105,Home Office,High-Speed USB-C Cable,Tech,6,17.92,0.2983, East 
TXN-10207,2025-05-14,CUST-1057,Corporate,Premium Notebook A5,Office supplies,8,11.45,0.3555,south
TXN-10208,2025-12-06,CUST-1006,Consumer,Smart Bluetooth Speaker,  Technology ,5,81.79,0.5015,SOUTH
TXN-10209,16/05/2025,CUST-1126,Home Office,Pro Laptop 15,TECHNOLOGY,2,1168.4,0.693,WEST
TXN-10210,2025-08-28,CUST-1107,Corporate,Gel Pens (Pack of 12),Office Supplies,9,14.86,0.3011,SOUTH
TXN-10211,2025/01/26,CUST-1081,Corporate,Standing Desk Frame,FURNITURE,6,293.39,0.6097,South
TXN-10212,2025-08-28,CUST-1130,Home Office,Filing Cabinet 3-Drawer,furniture,2,147.02,0.5448,EAST
TXN-10213,2025-10-24,CUST-1111,Consumer,Sticky Notes Pastel,off_supplies,2,7.75,0.2543,NORTH
TXN-10214,2025-04-10,CUST-1017,Consumer,Ergonomic Chair,Furniture,8,255.83,0.6386,east
TXN-10215,2025-04-29,CUST-1146,Home Office,Ergonomic Chair,furniture,9,255.72,0.6616,north
TXN-10216,INVALID_DATE,CUST-1058,Corporate,Premium Notebook A5,off_supplies,3,11.62,0.351,west
TXN-10217,2025-01-25,CUST-1096,Consumer,Executive Wooden Desk,Furniture  ,7,444.18,0.5995,SOUTH
TXN-10218,2025-05-27,CUST-1068,Home Office,Wireless Mouse M2,  Technology ,2,24.15,0.4018,north
TXN-10219,2025-09-24,CUST-1119,Corporate,Standing Desk Frame,Furniture  ,2,303.0,0.6119,north
TXN-10220,2025-02-18,CUST-1146,Home Office,Filing Cabinet 3-Drawer,furniture,7,150.57,0.5472,east
TXN-10221,19/10/2025,CUST-1136,Home Office,Filing Cabinet 3-Drawer,FURNITURE,2,147.47,0.5599,north
TXN-10222,2025-09-27,CUST-1115,Corporate,High-Speed USB-C Cable,Technology,1,18.87,0.3032,south
TXN-10223,13/07/2025,CUST-1042,Corporate,Premium Notebook A5,Office supplies,1,11.78,0.3505,north
TXN-10224,2025-08-10,CUST-1046,Corporate,UltraWide Monitor 34,Tech,9,401.1,0.726,NORTH
TXN-10225,2025-03-15,CUST-1097,Home Office,Ergonomic Chair,Furniture,2,245.73,0.6527,WEST
TXN-10226,2025-11-06,CUST-1002,Home Office,Gel Pens (Pack of 12),OFFICE SUPPLIES,10,15.27,0.3036,NORTH
TXN-10227,2025-04-02,CUST-1026,Home Office,Ergonomic Chair,Furniture,4,0.0,0.6591,West
TXN-10228,2025-05-09,CUST-1080,Corporate,High-Speed USB-C Cable,Tech,3,17.82,0.3049,WEST
TXN-10229,2025-08-04,CUST-1101,Corporate,Pro Laptop 15,  Technology ,10,1243.61,0.7135,East
TXN-10230,2025-10-07,CUST-1028,Home Office,UltraWide Monitor 34,TECHNOLOGY,7,400.69,0.7257,East
